ID,Prob1
0, 0.40
1, 0.18
2, 0.32
3, 0.16
4, 0.04
5, 0.02
6, 0.00
7, 0.56
8, 0.70
9, 0.19
10, 0.82
11, 0.07
12, 0.50
13, 0.82
14, 0.17
15, 0.00
16, 0.37
17, 0.33
18, 0.20
19, 0.27
20, 0.31
21, 0.00
22, 0.42
23, 0.60
24, 0.00
25, 0.31
26, 0.50
27, 0.31
28, 0.51
29, 0.81
30, 0.17
31, 0.02
32, 0.20
33, 0.43
34, 0.66
35, 0.42
36, 0.08
37, 0.47
38, 0.45
39, 0.19
40, 0.48
41, 0.07
42, 0.18
43, 0.61
44, 1.00
45, 0.22
46, 0.15
47, 0.54
48, 0.45
49, 0.49
50, 1.00
51, 0.17
52, 0.30
53, 0.38
54, 0.57
55, 0.00
56, 1.00
57, 0.00
58, 0.01
59, 0.27
60, 0.30
61, 0.37
62, 0.38
63, 0.20
64, 0.18
65, 0.28
66, 1.00
67, 0.31
68, 0.43
69, 0.09
70, 0.68
71, 0.86
72, 0.74
73, 0.00
74, 0.36
75, 1.00
76, 0.00
77, 1.00
78, 0.00
79, 0.14
80, 0.50
81, 0.15
82, 0.00
83, 0.00
84, 0.00
85, 0.11
86, 0.33
87, 0.00
88, 0.05
89, 0.86
90, 0.08
91, 0.21
92, 0.30
93, 1.00
94, 0.38
95, 0.14
96, 0.49
97, 0.04
98, 0.28
99, 0.27
100, 0.00
101, 0.51
102, 0.66
103, 0.76
104, 0.09
105, 0.18
106, 0.49
107, 0.45
108, 0.87
109, 0.13
110, 0.38
111, 0.50
112, 0.22
113, 0.24
114, 0.28
115, 0.00
116, 0.00
117, 0.06
118, 0.05
119, 0.10
120, 0.30
121, 0.26
122, 0.77
123, 0.34
124, 0.41
125, 0.00
126, 1.00
127, 0.06
128, 0.37
129, 0.18
130, 0.08
131, 0.46
132, 0.26
133, 0.49
134, 0.15
135, 1.00
136, 0.24
137, 0.00
138, 0.26
139, 0.00
140, 0.00
141, 0.39
142, 0.75
143, 0.23
144, 0.73
145, 0.06
146, 0.41
147, 0.00
148, 0.36
149, 0.71
150, 1.00
151, 0.33
152, 0.95
153, 0.02
154, 1.00
155, 0.00
156, 0.68
157, 0.02
158, 0.21
159, 0.26
160, 0.39
161, 0.00
162, 0.19
163, 0.00
164, 0.07
165, 0.00
166, 0.14
167, 0.41
168, 0.01
169, 0.31
170, 0.07
171, 0.67
172, 0.17
173, 0.66
174, 0.11
175, 0.12
176, 0.09
177, 0.38
178, 0.60
179, 0.00
180, 0.53
181, 0.88
182, 0.10
183, 0.52
184, 1.00
185, 0.67
186, 0.46
187, 0.71
188, 0.09
189, 0.00
190, 1.00
191, 0.00
192, 0.58
193, 0.02
194, 0.56
195, 0.88
196, 0.00
197, 0.09
198, 0.29
199, 0.17
200, 0.09
201, 0.22
202, 1.00
203, 0.00
204, 0.69
205, 0.40
206, 0.18
207, 0.00
208, 0.00
209, 0.75
210, 0.21
211, 0.24
212, 0.45
213, 1.00
214, 0.41
215, 0.00
216, 0.36
217, 0.00
218, 0.27
219, 0.42
220, 0.29
221, 0.16
222, 0.00
223, 0.77
224, 0.54
225, 0.31
226, 0.54
227, 0.71
228, 1.00
229, 0.00
230, 0.40
231, 0.89
232, 0.00
233, 0.00
234, 0.00
235, 0.28
236, 0.00
237, 0.59
238, 0.82
239, 0.50
240, 0.30
241, 0.20
242, 0.38
243, 0.00
244, 0.09
245, 0.01
246, 0.20
247, 0.79
248, 0.63
249, 0.15
250, 1.00
251, 0.31
252, 0.03
253, 0.00
254, 0.40
255, 0.00
256, 0.50
257, 0.00
258, 0.92
259, 0.17
260, 0.85
261, 0.30
262, 0.00
263, 0.00
264, 0.00
265, 0.37
266, 0.01
267, 0.32
268, 0.20
269, 0.15
270, 0.00
271, 0.00
272, 0.19
273, 0.17
274, 0.50
275, 0.32
276, 0.41
277, 1.00
278, 0.21
279, 0.08
280, 1.00
281, 0.21
282, 0.04
283, 0.16
284, 0.00
285, 0.46
286, 1.00
287, 0.00
288, 0.04
289, 0.32
290, 0.00
291, 0.18
292, 0.38
293, 0.44
294, 0.14
295, 0.00
296, 0.15
297, 0.04
298, 0.65
299, 0.58
300, 0.00
301, 0.00
302, 0.35
303, 0.41
304, 0.32
305, 0.75
306, 0.47
307, 0.72
308, 0.00
309, 0.90
310, 0.50
311, 0.07
312, 0.26
313, 0.04
314, 0.61
315, 0.47
316, 0.00
317, 0.69
318, 0.37
319, 0.00
320, 0.17
321, 0.46
322, 0.65
323, 0.49
324, 0.23
325, 0.33
326, 0.34
327, 1.00
328, 0.48
329, 0.09
330, 0.07
331, 0.43
332, 0.21
333, 0.27
334, 1.00
335, 0.00
336, 0.82
337, 0.95
338, 0.24
339, 0.31
340, 0.51
341, 0.12
342, 0.00
343, 0.04
344, 0.44
345, 0.10
346, 0.54
347, 0.00
348, 0.00
349, 0.73
350, 0.00
351, 0.55
352, 0.37
353, 0.53
354, 0.25
355, 0.70
356, 0.17
357, 0.00
358, 0.18
359, 0.50
360, 0.19
361, 0.00
362, 0.31
363, 0.48
364, 0.34
365, 0.64
366, 0.12
367, 0.30
368, 0.26
369, 1.00
370, 0.07
371, 0.18
372, 0.34
373, 0.38
374, 0.87
375, 0.00
376, 1.00
377, 0.02
378, 0.39
379, 0.13
380, 0.65
381, 0.00
382, 0.57
383, 0.95
384, 0.67
385, 0.40
386, 0.24
387, 0.19
388, 0.09
389, 0.38
390, 0.08
391, 0.11
392, 0.66
393, 0.33
394, 0.38
395, 0.55
396, 1.00
397, 0.00
398, 0.19
399, 0.90
400, 0.60
401, 0.17
402, 0.00
403, 0.06
404, 1.00
405, 0.06
406, 0.34
407, 0.05
408, 0.15
409, 0.33
410, 0.00
411, 0.10
412, 0.00
413, 0.11
414, 0.00
415, 0.07
416, 0.35
417, 0.28
418, 0.11
419, 0.73
420, 1.00
421, 0.04
422, 0.31
423, 0.20
424, 0.41
425, 0.40
426, 0.00
427, 0.51
428, 0.28
429, 0.03
430, 0.31
431, 0.34
432, 0.00
433, 0.25
434, 0.50
435, 0.26
436, 0.46
437, 0.75
438, 0.43
439, 0.00
440, 0.10
441, 0.19
442, 0.75
443, 0.00
444, 0.16
445, 0.08
446, 0.78
447, 0.09
448, 0.88
449, 0.00
450, 0.47
451, 0.90
452, 1.00
453, 0.51
454, 0.00
455, 0.11
456, 0.50
457, 0.12
458, 0.41
459, 0.19
460, 0.65
461, 0.05
462, 0.11
463, 0.34
464, 0.00
465, 0.00
466, 0.00
467, 0.39
468, 0.00
469, 0.25
470, 0.70
471, 0.09
472, 0.24
473, 0.46
474, 0.22
475, 0.31
476, 0.00
477, 0.18
478, 0.60
479, 0.23
480, 0.26
481, 0.20
482, 0.09
483, 0.76
484, 0.60
485, 1.00
486, 0.48
487, 0.37
488, 0.31
489, 0.50
490, 0.00
491, 0.00
492, 0.06
493, 0.26
494, 0.58
495, 0.00
496, 0.98
497, 0.70
498, 1.00
499, 0.35
500, 0.04
501, 0.21
502, 0.30
503, 0.14
504, 0.50
505, 0.22
506, 0.00
507, 0.00
508, 0.11
509, 0.16
510, 0.51
511, 0.41
512, 0.00
513, 0.00
514, 0.59
515, 0.40
516, 0.03
517, 0.53
518, 0.92
519, 0.80
520, 0.49
521, 0.42
522, 0.29
523, 0.30
524, 0.26
525, 1.00
526, 0.21
527, 0.37
528, 0.42
529, 0.00
530, 0.06
531, 0.17
532, 0.38
533, 0.10
534, 0.72
535, 0.91
536, 0.34
537, 0.00
538, 0.00
539, 0.23
540, 0.11
